# HISTORICAL: SP-GAT phase-era ablation (P16-P22, 2025 project state). Superseded by the HetSpA harness -- a single trained model evaluated by 3-fold vehicle-ID GroupKFold, not a phase ladder. See results/warangal/best_per_class.csv (current verified HetSpA per-class results) and papers/REFERENCES.md. Retained for project history; do not cite these numbers as current.
phase,description,bike_minADE_m,auto_minADE_m,car_minADE_m,bus_minADE_m
baseline_social,Early multi-agent social LSTM baseline,8.83,8.72,7.85,6.96
P16,Composite string ID fix (was the dominant bug),2.247,2.358,3.706,6.765
P17,Physics + init: MAX_V0 cap + macro heading + per-class training,1.111,0.877,1.330,1.298
P18,Heterogeneous neighbour class one-hot + 16-dim embedding,1.369,1.393,1.074,1.348
P19,Mirror-Y data augmentation (2x dataset),1.113,0.773,0.911,0.606
P21,P19 + ACT (Anticipated Collision Time) safety loss,1.045,0.812,0.805,0.522
P22,P21 + proximity + jerk losses (full RAPiD safety suite),1.029,0.814,0.906,0.496
