seed,fold,train_min,val_loss,n_test,man_acc,minADE,minFDE,min_1s,min_3s,min_5s,selADE,selFDE,sel_1s,sel_3s,sel_5s
42,0,179.4,0.12424299865961075,52291,0.9872,0.7299980163574219,1.5223652124404907,0.3587210178375244,0.5382518172264099,1.5223652124404907,13.813144397735595,22.076311111450195,3.466304302215576,13.725191116333008,22.076311111450195
123,0,171.95,0.11959686130285263,52291,0.9872,0.7107473134994506,1.476902723312378,0.3514692783355713,0.5335689783096313,1.476902723312378,11.131553220748902,17.827524185180664,2.770782232284546,11.098615646362305,17.827524185180664
2024,0,171.3,0.10700219124555588,52291,0.9877,0.6702148616313934,1.3391263484954834,0.36498191952705383,0.5229527354240417,1.3391263484954834,8.987630939483642,14.56885051727295,2.098151683807373,9.034713745117188,14.56885051727295
