batch_size,ms_total_mean,ms_total_p50,ms_total_p95,ms_total_p99,ms_per_sample,trials
1,297.9476706245502,296.4781999908155,308.93793498835294,325.2740570163587,297.9476706245502,480
8,296.7626779168616,296.01045000890736,308.52362498408183,316.29485400859267,37.0953347396077,480
32,301.7116408334914,300.9042500052601,313.173890003236,321.11141000088537,9.428488776046606,480
128,331.2750864581176,330.3365000174381,343.2788500052993,351.6500090205226,2.5880866129540436,480
1024,331.04352895716147,330.4476000048453,348.6561800033087,429.3040349835064,0.323284696247228,480
